Company,Website,Location,Contact,Rating,"Review Count,",Hourly Rate,Min Project Size,Employee Size
Naked.,http://app.nakeddev.com/application?utm_source=Clutch&utm_medium=Direct&utm_campaign=Naked%20Profile%20Link,"Irvine, CA",https://clutch.co/profile/naked/contact?next=https%3A%2F%2Fclutch.co%2Fdirectory%2Fmobile-application-developers,4.9,24 reviews,$100 - $149 / hr,"$25,000+",10 - 49
Goji Labs,https://gojilabs.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Los Angeles, CA",https://clutch.co/profile/goji-labs/contact?next=https%3A%2F%2Fclutch.co%2Fdirectory%2Fmobile-application-developers,5.0,50 reviews,$100 - $149 / hr,"$25,000+",10 - 49
Netguru,https://www.netguru.com/clutch/?utm_source=clutch&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Poznań, Poland",https://clutch.co/profile/netguru/contact?next=https%3A%2F%2Fclutch.co%2Fdirectory%2Fmobile-application-developers,4.8,49 reviews,$50 - $99 / hr,"$25,000+",250 - 999
Algoworks,http://www.algoworks.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers,"Sunnyvale, CA",https://clutch.co/profile/algoworks/contact?next=https%3A%2F%2Fclutch.co%2Fdirectory%2Fmobile-application-developers,4.9,76 reviews,$25 - $49 / hr,"$10,000+",250 - 999
KitelyTech,https://kitelytech.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Chicago, IL",https://clutch.co/profile/kitelytech/contact?next=https%3A%2F%2Fclutch.co%2Fdirectory%2Fmobile-application-developers,4.9,23 reviews,Undisclosed,"$25,000+",50 - 249
Mercury Development,https://mercdev.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers,"Aventura, FL",https://clutch.co/profile/mercury-development/contact?next=https%3A%2F%2Fclutch.co%2Fdirectory%2Fmobile-application-developers,5.0,23 reviews,$50 - $99 / hr,"$25,000+",50 - 249
Sidebench,https://sidebench.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Santa Monica, CA",https://clutch.co/profile/sidebench/contact?next=https%3A%2F%2Fclutch.co%2Fdirectory%2Fmobile-application-developers,4.9,44 reviews,$100 - $149 / hr,"$75,000+",50 - 249
Appinventiv,https://appinventiv.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=TopMobileAppDevelopmentCompanies,"Manhattan, NY",https://clutch.co/profile/appinventiv/contact?next=https%3A%2F%2Fclutch.co%2Fdirectory%2Fmobile-application-developers,4.8,74 reviews,$25 - $49 / hr,"$50,000+",250 - 999
CodigoDelSur,http://codigodelsur.com/?utm_source=clutch&utm_medium=referral&utm_campaign=directory-mobile-application-developers,"Montevideo, Uruguay",https://clutch.co/profile/codigodelsur/contact?next=https%3A%2F%2Fclutch.co%2Fdirectory%2Fmobile-application-developers,4.8,37 reviews,$50 - $99 / hr,"$75,000+",50 - 249
techahead,https://www.techaheadcorp.com/?utm_source=clutch&utm_medium=referral&utm_campaign=main-app-dev,"Agoura Hills, CA",https://clutch.co/profile/techahead/contact?next=https%3A%2F%2Fclutch.co%2Fdirectory%2Fmobile-application-developers,4.8,71 reviews,$50 - $99 / hr,"$50,000+",50 - 249
Cheesecake Labs,https://cheesecakelabs.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-application-developers,"San Francisco, CA",https://clutch.co/profile/cheesecake-labs/contact?next=https%3A%2F%2Fclutch.co%2Fdirectory%2Fmobile-application-developers,4.9,43 reviews,$50 - $99 / hr,"$50,000+",50 - 249
itCraft,https://itcraftapps.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=mobile-app-development,"Warszawa, Poland",https://clutch.co/profile/itcraft/contact?next=https%3A%2F%2Fclutch.co%2Fdirectory%2Fmobile-application-developers,5.0,58 reviews,$50 - $99 / hr,"$50,000+",50 - 249
